step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
11,TRANSFER,12461,C2079232448,12461,0,C585834595,0,0,1,0
11,PAYMENT,993.36,C1478819390,51917,50923.64,M1475674163,0,0,0,0
11,PAYMENT,10998.84,C751196491,143577.01,132578.18,M717877346,0,0,0,0
11,CASH_IN,339306.43,C53532456,6507,345813.43,C1284149862,4841099.4,4455232.89,0,0
11,CASH_OUT,140463.88,C917544973,122654,0,C2082990955,13560.66,221834.19,0,0
11,PAYMENT,23478.84,C1661087679,238656.96,215178.12,M255967277,0,0,0,0
11,PAYMENT,31247.1,C709195276,0,0,M476708269,0,0,0,0
11,PAYMENT,19410.58,C2016790126,146622.05,127211.47,M1428835813,0,0,0,0
11,PAYMENT,965.36,C336046676,4049,3083.64,M1614123100,0,0,0,0
11,CASH_OUT,242478.41,C1118220474,0,0,C1150630865,496353.76,663355.16,0,0
11,CASH_OUT,225485.06,C1373418318,1388032.73,1162547.67,C1837558204,136228.69,361713.76,0,0
11,PAYMENT,3610.46,C1785353450,501869.91,498259.45,M1385480035,0,0,0,0
11,PAYMENT,16305.81,C883793887,15386,0,M1359881139,0,0,0,0
11,PAYMENT,15338.87,C1118858094,0,0,M503913804,0,0,0,0
11,CASH_OUT,474600.11,C376180648,21030,0,C1065349988,10049.48,339813.74,0,0
11,PAYMENT,4803.76,C1039748517,573,0,M1741386808,0,0,0,0
11,CASH_OUT,237326.89,C1853810017,0,0,C114573982,387602.18,274515.63,0,0
11,CASH_OUT,22318.81,C802587961,0,0,C1851914880,1184747.61,1207066.42,0,0
11,PAYMENT,8401.34,C1620557118,0,0,M97430890,0,0,0,0
12,CASH_IN,208769.68,C1618246679,280,209049.68,C476664236,0,0,0,0
12,PAYMENT,5292.52,C1743767642,394328.73,389036.21,M2095615246,0,0,0,0
12,PAYMENT,10646.47,C1417632280,10965,318.53,M1697116181,0,0,0,0
12,TRANSFER,2026443.84,C829471959,14798,0,C1749585032,0,3548605.1,0,0
12,CASH_IN,550655.8,C796275593,13017,563672.8,C1166005441,309165.04,101558.12,0,0
12,CASH_OUT,457871.36,C1165946175,801,0,C885778196,72430,0,0,0
12,PAYMENT,9987.5,C1248358699,31592.78,21605.28,M1827567865,0,0,0,0
12,PAYMENT,4824.2,C2112918552,368635.75,363811.55,M2077644446,0,0,0,0
12,PAYMENT,7531.16,C693393105,2296,0,M1976265893,0,0,0,0
12,CASH_IN,34688.71,C1882680540,21260,55948.71,C1296476041,10295,0,0,0
12,TRANSFER,3964129.99,C576568419,3964129.99,0,C1571546632,0,0,1,0
12,CASH_OUT,313800.55,C585183181,0,0,C1615009576,4720353.86,5370740.09,0,0
12,TRANSFER,60480.63,C792357143,0,0,C1754722089,13616419.28,14060373.2,0,0
12,CASH_OUT,317158.49,C489200642,50539,0,C1428794872,362,286824.61,0,0
12,CASH_IN,105097.12,C1750236756,4668234.5,4773331.62,C1441378585,508284.29,460747.48,0,0
12,CASH_OUT,129307.68,C326963436,0,0,C977013978,831440.72,960748.4,0,0
12,TRANSFER,19472,C1101705841,19472,0,C925285469,0,0,1,0
12,PAYMENT,15259.17,C1669654883,151,0,M1518204538,0,0,0,0
12,TRANSFER,2066467.64,C1223631235,2066467.64,0,C1281019843,0,81209.81,1,0
12,CASH_OUT,138088.24,C746828804,197245.33,59157.1,C1557996174,0,0,0,0
12,CASH_IN,220808.15,C756601882,8850587.15,9071395.3,C762558455,1563073.87,1342265.71,0,0
12,TRANSFER,1194805.71,C1654178095,0,0,C1375280409,1836390.29,3526343.57,0,0
12,TRANSFER,2007,C439464764,2007,0,C562360384,0,0,1,0
12,PAYMENT,6896.23,C814271622,24741,17844.77,M1294363712,0,0,0,0
12,CASH_OUT,356170.14,C1194562606,0,0,C357563667,1529088.55,1885258.69,0,0
12,PAYMENT,9669.06,C1118370478,0,0,M1536048166,0,0,0,0
12,PAYMENT,5935.22,C1115910095,545715.59,539780.37,M1551711916,0,0,0,0
12,CASH_OUT,334563.26,C2006987537,39678,0,C1968101532,627122.21,1147439.96,0,0
12,CASH_IN,220672.15,C905115998,259587,480259.15,C993777150,9874904.57,9654232.42,0,0
12,CASH_IN,421947.99,C297668799,102996.55,524944.54,C1538745405,97405.27,0,0,0
12,CASH_OUT,222048.71,C265790428,0,0,C1700442291,2979,225027.71,1,0
12,CASH_IN,516115.91,C1545678552,21279,537394.91,C662736689,13867763.79,13351647.88,0,0
12,CASH_OUT,1041647.06,C169939918,1041647.06,0,C1673501963,52730.33,1094377.39,1,0
12,CASH_OUT,25305.91,C1311802096,0,0,C910260446,1475274.89,1500580.81,0,0
12,CASH_OUT,150777.33,C915256392,12196,0,C359717784,2015119.33,2165896.66,0,0
12,PAYMENT,17355.75,C894071454,54949,37593.25,M656783829,0,0,0,0
12,PAYMENT,11398.79,C6526943,1029,0,M827217537,0,0,0,0
12,CASH_OUT,19472,C1205151454,19472,0,C664770316,0,19472,1,0
12,PAYMENT,19463.07,C407730129,0,0,M333871170,0,0,0,0
12,CASH_IN,68406.13,C1626665342,206410,274816.13,C1314181319,0,0,0,0
12,PAYMENT,3898.53,C1299594579,0,0,M260977332,0,0,0,0
13,PAYMENT,28947.28,C71188032,90422,61474.72,M1535259179,0,0,0,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,0,C1966002811,319036.02,1565123.81,1,0
13,CASH_IN,340428.59,C264002064,22846524.83,23186953.42,C1821667317,3077805.99,3151416.46,0,0
13,CASH_IN,251762.45,C1109272819,25884,277646.45,C1529634023,2516565.22,3416498.43,0,0
13,TRANSFER,39695.72,C1107906897,0,0,C726025092,2500603.54,3100181.18,0,0
13,PAYMENT,22185.95,C2074019989,830123.28,807937.33,M474663344,0,0,0,0
13,PAYMENT,8326.61,C699997923,1258325.44,1249998.83,M1383270564,0,0,0,0
13,TRANSFER,347151.95,C263675632,61226,0,C840027268,752252.43,1166479.38,0,0
13,CASH_IN,230479.97,C208859176,426673.02,657152.99,C2112826959,4458446.03,4227966.06,0,0
13,PAYMENT,13645.35,C368052201,807844.84,794199.49,M2075025860,0,0,0,0
13,CASH_OUT,86453.29,C851822191,0,0,C1582218261,200428.85,75524.38,0,0
13,PAYMENT,36267.38,C1376761906,11468,0,M2003609121,0,0,0,0
13,CASH_OUT,227676.49,C1919030973,0,0,C495650048,7823603.28,8051279.77,0,0
13,CASH_OUT,172925.44,C605867465,0,0,C1108219853,1100728.21,1273653.66,0,0
13,TRANSFER,60630.59,C1688838690,217832.79,157202.2,C1852596747,327800.58,388431.17,0,0
13,TRANSFER,171723.69,C1881271572,0,0,C1741320678,961964.86,1133688.56,0,0
13,CASH_OUT,454859.39,C1274887619,0,0,C2146670328,0,454859.39,1,0
13,PAYMENT,29791.97,C1082397722,1259898.1,1230106.13,M1584690821,0,0,0,0
13,TRANSFER,4022667.54,C735463888,4022667.54,0,C1548348754,0,0,1,0
13,CASH_OUT,186372.37,C1386329781,143.2,0,C1309371183,0,186372.37,0,0
13,TRANSFER,408,C2021466585,408,0,C1864486913,0,226013.18,1,0
13,PAYMENT,41572.45,C540475266,694837,653264.55,M723223304,0,0,0,0
13,TRANSFER,1204853.43,C1066990411,0,0,C1711566460,1608538.69,2813392.12,0,0
13,CASH_IN,306233.04,C1404826598,2409,308642.04,C1187497097,0,0,0,0
13,CASH_IN,36300.09,C1336923293,92233,128533.09,C328722803,73637.78,37337.69,0,0
13,CASH_IN,40167.36,C979855234,13556499.87,13596667.23,C407660388,110820.5,70653.15,0,0
13,CASH_IN,529862.66,C1180312525,7852892.19,8382754.86,C576384658,919974.2,390111.53,0,0
13,PAYMENT,7015.54,C2105799291,164993,157977.46,M1061377530,0,0,0,0
13,CASH_IN,291813.69,C157945469,4519126.04,4810939.73,C1081381255,412028.3,120214.61,0,0
13,PAYMENT,6946.62,C625855833,0,0,M1960165255,0,0,0,0
13,PAYMENT,7329.32,C189254041,0,0,M1931626387,0,0,0,0
13,CASH_OUT,2686564.04,C901331326,2686564.04,0,C1662761228,438199.37,3124763.41,1,0
13,PAYMENT,6625.2,C358604059,49673,43047.8,M252422992,0,0,0,0
13,CASH_OUT,97283.47,C568849525,5040,0,C2017088621,2466718.34,2564001.81,0,0
13,CASH_IN,283014.48,C1527322506,4362272.37,4645286.84,C603580770,5492558.9,5806391.69,0,0
13,CASH_OUT,423530.73,C2123762343,26977,0,C1645430391,1310869.45,1734400.18,0,0
13,CASH_OUT,408,C1894004688,408,0,C1293978242,898297.85,1075854.14,1,0
13,CASH_OUT,48375.02,C1894578299,48375.02,0,C590035788,374803.26,658520.33,1,0
13,CASH_IN,200726.12,C1049409004,8419518.06,8620244.18,C1247600089,14892584.37,14691858.24,0,0
13,CASH_OUT,276776.52,C1654402008,2458525.93,2181749.41,C486369688,558083.09,866721.43,0,0
13,TRANSFER,2686564.04,C364029634,2686564.04,0,C2041291172,0,0,1,0
14,CASH_OUT,192024.78,C1168989010,3308,0,C1732549660,0,194641.73,0,0
14,TRANSFER,1561891.66,C736093511,1561891.66,0,C1224081716,0,0,1,0
14,TRANSFER,134254.42,C1780790521,6824,0,C1539919550,3139527.97,3273782.39,0,0
14,CASH_IN,318618.42,C2124340911,20203057.6,20521676.02,C35534346,1842831.07,1817978.72,0,0
14,PAYMENT,6928.74,C1694160758,0,0,M1876557151,0,0,0,0
14,CASH_OUT,60815.05,C1839566923,0,0,C1813397950,2806770.95,3078144.6,0,0
14,CASH_OUT,15300.88,C998567374,0,0,C1829540685,83411,98711.88,0,0
14,PAYMENT,14921.4,C1324091034,85066.91,70145.51,M235766944,0,0,0,0
14,CASH_OUT,127625.31,C1502749331,0,0,C1142829173,292972.19,420597.5,0,0
14,CASH_OUT,129315.17,C1880628923,654,0,C108094953,245272.76,374587.94,0,0
14,TRANSFER,1832319.42,C439830884,1832319.42,0,C1133002328,0,0,1,0
14,CASH_OUT,199418.45,C2122135419,0,0,C1510767268,10524861.58,11197132.15,0,0
14,PAYMENT,2029,C1890731122,0,0,M2086470268,0,0,0,0
14,PAYMENT,16371.64,C1323297740,60727,44355.36,M1980629740,0,0,0,0
14,CASH_OUT,53927.9,C1195352465,0,0,C1335427656,1970899.98,2024827.88,0,0
14,CASH_IN,34269.84,C1318326424,11702360.45,11736630.29,C1304046855,1697658.87,1843029.55,0,0
14,CASH_OUT,2224.88,C1825098384,7234,5009.12,C1231872207,110000.76,112225.64,0,0
14,PAYMENT,12635.74,C2136828157,30885,18249.26,M920754848,0,0,0,0
14,CASH_OUT,2927005.15,C2010427735,2927005.15,0,C1887744176,0,2994420.07,1,0
14,CASH_IN,71052.35,C1880952323,5178,76230.35,C1753127766,1249525.18,1984360.55,0,0
14,TRANSFER,841212.01,C1329943721,31459,0,C1555411483,0,182552.86,0,0
14,CASH_OUT,207678.53,C1162866624,41904,0,C1826334428,0,207678.53,0,0
14,CASH_IN,391937.83,C558355814,12169226.03,12561163.85,C661861861,1070576.02,678638.19,0,0
14,CASH_IN,278146.44,C703665829,65233,343379.44,C620533351,0,0,0,0
14,PAYMENT,6700.89,C1515817862,0,0,M1391699090,0,0,0,0
14,PAYMENT,6822.63,C996279138,0,0,M1608085193,0,0,0,0
14,CASH_OUT,145440.45,C1925723361,15420,0,C82175716,419205.82,564646.27,0,0
14,PAYMENT,18013.65,C2035205880,1196999.96,1178986.3,M376799347,0,0,0,0
14,CASH_OUT,91701.74,C1009829865,15013,0,C1632014213,88678.73,180380.48,0,0
14,CASH_OUT,301715.63,C1369202295,9045,0,C1194560395,102150.99,746226.54,0,0
14,CASH_OUT,221605.05,C997684556,11033,0,C1870646445,0,164935.36,0,0
14,CASH_OUT,191237.28,C1955136549,49732,0,C85545239,61958.75,253196.03,0,0
14,CASH_IN,225441.55,C1970722893,23121,248562.55,C546907408,0,0,0,0
14,CASH_IN,59341.61,C868808996,29594,88935.61,C1586419467,0,0,0,0
14,CASH_OUT,65488.05,C1137669976,65488.05,0,C1526507740,0,65488.05,1,0
14,CASH_OUT,199122.2,C1879913710,393640.78,194518.57,C67990421,385542.97,452540.66,0,0
14,CASH_IN,41398.73,C132856340,4496199.42,4537598.15,C161112781,166859.63,125460.9,0,0
14,CASH_OUT,213191.49,C406926404,0,0,C567451389,2578571.5,2791762.99,0,0
14,CASH_OUT,1561891.66,C15204463,1561891.66,0,C1255502452,3471928.95,6443177.56,1,0
14,CASH_OUT,88449.11,C1694067542,21162,0,C1220558769,289848.55,378297.66,0,0
14,CASH_OUT,259488.03,C1347350470,37030.59,0,C1065149821,1673415.09,2164448.97,0,0
14,PAYMENT,21595.33,C1757360286,100838.85,79243.52,M1120889811,0,0,0,0
14,CASH_OUT,7077.73,C1083671412,0,0,C682738700,102366.31,109444.04,0,0
14,CASH_OUT,224657.28,C2054233779,20928,0,C1241262208,950219.36,2308892.7,0,0
14,TRANSFER,2927005.15,C2081788795,2927005.15,0,C2138456206,0,0,1,0
14,PAYMENT,16331.11,C286202746,49677,33345.89,M740162331,0,0,0,0
